TIMESTAMP,TEMPERATURE_temp1[degC],WINDSPEED_wspd1[m/s],WINDDIR_wdir1[deg],INSOLATION_irrad1[kW/m2],INSOLATION_irrad2[kW/m2],door1,door2,doorx1,doorx2,doorx3,doorx4,doorx5,doorx6,doorx7
249999,12.3,2.6,160,-0.004,0,0,0,1,1,1,1,0,0,0
250999,12.3,2.4,159,-0.004,0,0,0,1,1,1,1,0,0,0
252001,12.3,2.3,160,-0.004,0,0,0,1,1,1,0,1,1,1
253000,12.4,2.3,151,-0.004,0,0,0,1,1,1,0,1,1,1
253999,12.3,2.1,150,-0.004,0,0,0,1,1,1,0,1,1,1
255000,12.3,2,150,-0.004,0,0,0,1,1,1,0,1,1,1
255999,12.3,2.2,151,-0.004,0,0,0,1,1,1,0,1,1,1
257000,12.3,2.3,152,-0.004,0,0,0,1,1,1,0,1,1,1
258000,12.3,2.3,151,-0.004,0,0,0,1,1,1,0,1,1,1
259000,12.4,2.3,151,-0.004,0,0,0,1,1,1,0,1,1,1
260000,12.4,2.2,151,-0.004,0,0,0,1,1,1,0,1,1,1
261000,12.4,2.4,151,-0.004,0,0,0,1,1,1,0,1,1,1
262000,12.3,2.5,151,-0.004,0,0,0,1,1,1,0,1,1,1
262999,12.3,2.7,151,-0.004,0,0,0,1,1,1,0,1,1,1
264001,12.4,2.7,153,-0.004,0,0,0,1,1,1,0,1,1,1
265002,12.4,2.8,154,-0.004,0,0,0,1,1,1,0,1,1,1
266000,12.4,2.6,153,-0.004,0,0,0,1,1,1,0,1,1,1
267000,12.4,2.7,153,-0.004,0,0,0,1,1,1,0,1,1,1
267999,12.4,2.7,145,-0.004,0,0,0,1,1,1,0,1,1,1
268999,12.3,2.7,150,-0.004,-0.002,0,0,1,1,1,0,1,1,1
270001,12.3,2.8,151,-0.004,0,0,0,1,1,1,0,1,1,1
270999,12.3,2.8,151,-0.004,0,0,0,1,1,1,0,1,1,1
272000,12.4,2.7,152,-0.004,0,0,0,1,1,1,0,1,1,1
273000,12.4,2.8,152,-0.004,0,0,0,1,1,1,0,1,1,1
274000,12.3,2.8,154,-0.004,0,0,0,1,1,1,0,1,1,1
275000,12.4,2.7,154,-0.004,0,0,0,1,1,1,0,1,1,1
275999,12.4,2.7,154,-0.004,0,0,0,1,1,1,0,1,1,1
276999,12.3,2.6,153,-0.004,0,0,0,1,1,1,0,1,1,1
278000,12.4,2.8,154,-0.004,0,0,0,1,1,1,0,1,1,1
279000,12.4,2.7,151,-0.004,0,0,0,1,1,1,0,1,1,1
280000,12.3,2.5,144,-0.004,0,0,0,1,1,1,0,1,1,1
281000,12.4,2.5,145,-0.004,0,0,0,1,1,1,0,1,1,1
281999,12.4,2.6,150,-0.004,0,0,0,1,1,1,0,1,1,1
282999,12.4,2.7,152,-0.004,0,0,0,1,1,1,0,1,1,1
283999,12.4,2.9,150,-0.004,0,0,0,1,1,1,0,1,1,1
284999,12.4,3,151,-0.004,0,0,0,1,1,1,0,1,1,1
286000,12.4,3,151,-0.004,0,0,0,1,1,1,0,1,1,1
287000,12.4,2.9,151,-0.004,0,0,0,1,1,1,0,1,1,1
287999,12.4,2.9,155,-0.004,0,0,0,1,1,1,0,1,1,0
288999,12.4,2.8,149,-0.004,0,0,0,1,1,1,0,1,1,0
290000,12.4,2.8,151,-0.004,0,0,0,1,1,1,0,1,1,0
291999,12.4,2.6,152,-0.004,0,0,0,1,1,1,0,1,1,0
293000,12.4,2.7,153,-0.004,0,0,0,1,1,1,0,1,1,0
293999,12.4,2.7,153,-0.004,0,0,0,1,1,1,0,1,1,0
294999,12.4,2.7,153,-0.004,0,0,0,1,1,1,0,1,1,0
296001,12.4,2.6,152,-0.004,0,0,0,1,1,1,0,1,1,0
296999,12.4,2.4,152,-0.004,0,0,0,1,1,1,0,1,1,0
298000,12.4,2.4,153,-0.004,0,0,0,1,1,1,0,1,1,0
299000,12.4,2.6,154,-0.004,0,0,0,1,1,1,0,1,1,0
300000,12.4,2.8,158,-0.004,0,0,0,1,1,1,0,1,1,0
301000,12.4,2.7,158,-0.004,0,0,0,1,1,1,0,1,1,0
302000,12.4,2.7,158,-0.004,0,0,0,1,1,1,0,1,1,0
303000,12.4,2.8,158,-0.004,0,0,0,1,1,1,0,1,1,0
304001,12.4,2.7,158,-0.004,0,0,0,1,1,1,0,1,1,0
304999,12.3,2.6,157,-0.004,0,0,0,1,1,1,0,1,1,0
306000,12.4,2.6,157,-0.004,0,0,0,1,1,1,0,1,1,0
306999,12.4,2.6,157,-0.004,0,0,0,1,1,1,0,1,1,0
307999,12.4,2.5,158,-0.004,0,0,0,1,1,1,0,1,1,0
309000,12.4,2.4,158,-0.004,0,0,0,1,1,1,0,1,1,0
310000,12.4,2.4,158,-0.004,0,0,0,1,1,1,0,1,1,0
311000,12.3,2.4,158,-0.004,0,0,0,1,1,1,0,1,1,0
312000,12.4,2.5,157,-0.004,0,0,0,1,1,1,0,1,1,0
313000,12.4,2.5,154,-0.004,0,0,0,1,1,1,0,1,1,0
314000,12.4,2.6,147,-0.004,0,0,0,1,1,1,0,1,1,0
315000,12.4,2.6,148,-0.004,0,0,0,1,1,1,0,1,1,0
316001,12.4,2.4,149,-0.004,0,0,0,1,1,1,0,1,1,0
316999,12.4,2.3,156,-0.004,0,0,0,1,1,1,0,1,1,0
318000,12.4,2.4,160,-0.004,0,0,0,1,1,1,0,1,1,0
319005,12.4,2.3,159,-0.004,0,0,0,1,1,1,0,1,1,0
320000,12.4,2.3,159,-0.004,0,0,0,1,1,1,0,1,1,0
320999,12.4,2.4,159,-0.004,0,0,0,1,1,1,0,1,1,0
321999,12.4,2.3,152,-0.004,0,0,0,1,1,1,0,1,1,0
322999,12.4,2.1,153,-0.004,0,0,0,1,1,1,0,1,1,0
324000,12.4,2,153,-0.004,0,0,0,1,1,1,0,1,1,0
325000,12.4,2,153,-0.004,0,0,0,1,1,1,0,1,0,1
326000,12.4,2.1,153,-0.004,0,0,0,1,1,1,0,1,0,1
327000,12.4,2,153,-0.004,0,0,0,1,1,1,0,1,0,1
328001,12.4,1.9,153,-0.004,0,0,0,1,1,1,0,1,0,1
328999,12.4,1.9,153,-0.004,0,0,0,1,1,1,0,1,0,1
329999,12.3,2.1,154,-0.004,0,0,0,1,1,1,0,1,0,1
330999,12.4,2.3,154,-0.004,0,0,0,1,1,1,0,1,0,1
332000,12.4,2.2,154,-0.004,0,0,0,1,1,1,0,1,0,1
333000,12.4,2.4,155,-0.004,0,0,0,1,1,1,0,1,0,1
333999,12.4,2.4,155,-0.004,0,0,0,1,1,1,0,1,0,1
335000,12.4,2.4,155,-0.004,0,0,0,1,1,1,0,1,0,1
336000,12.4,2.4,155,-0.004,0,0,0,1,1,1,0,1,0,1
337000,12.4,2.3,156,-0.004,-0.002,0,0,1,1,1,0,1,0,1
338000,12.4,2,156,-0.004,0,0,0,1,1,1,0,1,0,1
339000,12.4,2,160,-0.004,0,0,0,1,1,1,0,1,0,1
340000,12.4,2,159,-0.004,0,0,0,1,1,1,0,1,0,1
340999,12.4,1.9,158,-0.004,0,0,0,1,1,1,0,1,0,1
341999,12.4,2,151,-0.004,0,0,0,1,1,1,0,1,0,1
342999,12.4,2.2,146,-0.004,0,0,0,1,1,1,0,1,0,1
344000,12.4,2.6,147,-0.004,0,0,0,1,1,1,0,1,0,1
345000,12.4,2.7,149,-0.004,0,0,0,1,1,1,0,1,0,1
346000,12.4,2.7,149,-0.004,0,0,0,1,1,1,0,1,0,1
347000,12.4,2.7,149,-0.004,0,0,0,1,1,1,0,1,0,1
348001,12.4,2.7,149,-0.004,0,0,0,1,1,1,0,1,0,1
349000,12.4,2.5,148,-0.004,0,0,0,1,1,1,0,1,0,1
349999,12.4,2.6,148,-0.004,0,0,0,1,1,1,0,1,0,1
351000,12.4,2.5,149,-0.004,0,0,0,1,1,1,0,1,0,1
