TIMESTAMP,TEMPERATURE_temp1[degC],WINDSPEED_wspd1[m/s],WINDDIR_wdir1[deg],INSOLATION_irrad1[kW/m2],INSOLATION_irrad2[kW/m2]
414006,12.4,2.3,170,-0.004,0
415000,12.4,2.3,167,-0.004,0
415999,12.4,2.3,169,-0.004,0
417000,12.4,2.4,169,-0.004,0
418000,12.4,2.4,169,-0.004,0
418999,12.4,2.3,170,-0.004,0
420000,12.4,2.3,172,-0.004,0
421000,12.4,2.1,172,-0.004,0
422000,12.4,2,167,-0.004,0
423000,12.4,2.1,167,-0.004,0
424000,12.4,2.7,166,-0.004,0
425000,12.4,2.8,168,-0.004,0
425999,12.4,2.9,169,-0.004,0
427000,12.4,3.1,166,-0.004,0
427999,12.4,3.1,168,-0.004,0
429000,12.4,2.9,168,-0.004,0
430000,12.4,2.7,165,-0.004,0
431000,12.4,2.7,153,-0.004,0
431999,12.4,2.8,156,-0.004,0
432999,12.4,3,165,-0.004,0
434001,12.4,2.9,167,-0.004,0
434999,12.4,3,162,-0.004,0
436000,12.4,3.1,159,-0.004,0
436999,12.4,3.1,156,-0.004,0
437999,12.4,3,157,-0.004,0
438999,12.4,3,161,-0.004,0
440000,12.4,2.8,161,-0.004,0
440999,12.4,2.9,161,-0.004,0
442000,12.4,2.9,152,-0.004,0
442999,12.4,2.8,153,-0.004,0
444000,12.4,3,154,-0.004,0
445000,12.4,3.1,155,-0.004,0
445999,12.4,3.2,157,-0.004,0
446999,12.4,3.3,162,-0.004,0
447999,12.4,3.1,167,-0.004,0
449000,12.4,3,166,-0.004,0
450000,12.4,3,166,-0.004,0
451000,12.4,3,161,-0.004,0
451999,12.4,2.9,163,-0.004,0
452999,12.4,2.7,165,-0.004,0
454001,12.4,2.6,165,-0.004,0
455000,12.4,2.6,164,-0.004,0
455999,12.4,2.6,163,-0.004,0
457000,12.4,2.4,163,-0.004,0
458000,12.4,2.4,163,-0.004,0
458999,12.4,2.4,161,-0.004,0
460000,12.4,2.4,162,-0.004,0
460999,12.4,2.1,163,-0.004,0
461999,12.4,2,163,-0.004,0
463000,12.4,2,162,-0.004,0
464000,12.4,1.9,163,-0.004,0
465000,12.4,2,157,-0.004,0
465999,12.4,1.9,157,-0.004,0
467001,12.4,1.8,157,-0.004,0
467999,12.4,1.7,157,-0.004,0
468999,12.4,1.6,158,-0.004,0
470000,12.4,1.7,158,-0.004,0
471000,12.4,1.7,158,-0.004,0
472001,12.4,1.7,155,-0.004,0
472999,12.4,1.9,152,-0.004,0
473999,12.4,1.9,152,-0.004,0
474999,12.4,1.9,152,-0.004,0
476000,12.4,2.1,153,-0.004,0
477000,12.4,2.5,158,-0.004,0
478000,12.4,2.8,158,-0.004,0
479000,12.4,2.9,163,-0.004,0
479999,12.4,2.8,164,-0.004,0
480999,12.4,2.8,164,-0.004,0
481999,12.4,2.8,166,-0.004,0
482999,12.4,2.5,166,-0.004,0
484000,12.4,2.3,159,-0.004,0
485000,12.4,2.3,160,-0.004,0
486000,12.4,2.3,160,-0.004,0
487000,12.4,2.2,167,-0.004,0
487999,12.4,2.2,167,-0.004,0
488999,12.4,2.2,159,-0.004,0
490000,12.4,2.5,160,-0.004,0
491000,12.4,2.4,160,-0.004,0
492000,12.4,2.5,160,-0.004,0
493000,12.4,2.4,159,-0.004,0
493999,12.4,2.3,159,-0.004,0
495000,12.4,2.3,159,-0.004,0
496000,12.4,2.4,160,-0.004,0
497000,12.4,2.6,161,-0.004,0
498000,12.4,2.5,160,-0.004,0
498999,12.4,2.4,161,-0.004,0
500000,12.4,2.4,161,-0.004,0
501001,12.4,2.4,160,-0.004,0
501999,12.4,2.3,160,-0.004,0
503000,12.4,2.2,160,-0.004,0
504000,12.4,2.5,161,-0.004,0
505000,12.4,2.5,165,-0.004,0
505999,12.4,2.5,165,-0.004,0
506999,12.4,2.5,164,-0.004,0
508001,12.4,2.6,164,-0.004,0
509000,12.4,2.6,164,-0.004,0
510000,12.4,2.5,164,-0.004,0
510999,12.4,2.4,165,-0.004,0
512000,12.4,2.4,165,-0.004,0
512999,12.4,2.5,165,-0.004,0
514000,12.4,2.5,165,-0.004,0
515000,12.4,2.4,161,-0.004,0
516000,12.4,2.4,162,-0.004,0
517000,12.4,2.5,165,-0.004,0
517999,12.4,2.6,165,-0.004,0
518999,12.4,2.4,165,-0.004,0
520000,12.4,2.5,164,-0.004,0
521000,12.4,2.5,155,-0.004,0
522000,12.4,2.6,165,-0.004,0
523000,12.4,2.6,162,-0.004,0
524001,12.4,2.5,162,-0.004,-0.002
524999,12.4,2.6,162,-0.004,0
525999,12.4,2.5,162,-0.004,0
526999,12.4,2.4,162,-0.004,0
528000,12.4,2.1,164,-0.004,0
528999,12.4,2.1,163,-0.004,0
530000,12.4,2.1,159,-0.004,0
531000,12.4,2.2,155,-0.004,0
532000,12.4,2.3,153,-0.004,0
532999,12.4,2.4,154,-0.004,0
533999,12.4,2.5,153,-0.004,0
535000,12.4,2.5,153,-0.004,0
536000,12.4,2.5,147,-0.004,0
537000,12.4,2.4,153,-0.004,0
538000,12.4,2.5,153,-0.004,0
540000,12.4,2.2,151,-0.004,0
540999,12.4,2.6,152,-0.004,0
541999,12.4,2.6,152,-0.004,0
543000,12.4,2.6,151,-0.004,0
544000,12.4,2.6,157,-0.004,0
544999,12.4,2.4,157,-0.004,-0.002
545999,12.4,2.4,157,-0.004,0
546999,12.4,2.3,157,-0.004,0
547999,12.4,2.5,157,-0.004,0
548999,12.4,2.4,157,-0.004,0
550000,12.4,2.4,154,-0.004,0
550999,12.4,2.5,155,-0.004,0
552000,12.4,2.6,160,-0.004,0
553000,12.4,2.5,160,-0.004,0
554000,12.4,2.3,170,-0.004,0
554999,12.4,2.3,172,-0.004,0
556000,12.4,2.2,173,-0.004,0
557000,12.4,2.1,172,-0.004,0
557999,12.4,2.2,173,-0.004,0
